"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","ÅãC","%"
"2019-11-07 10:29:38","43776.4372453704","16.4","72"
"2019-11-07 10:34:38","43776.4407175926","16.5","73"
"2019-11-07 10:39:38","43776.4441898148","16.6","73"
"2019-11-07 10:44:38","43776.4476620370","15.7","65"
"2019-11-07 10:49:38","43776.4511342593","13.8","54"
"2019-11-07 10:54:38","43776.4546064815","13.7","56"
"2019-11-07 10:59:38","43776.4580787037","14.4","61"
"2019-11-07 11:04:38","43776.4615509259","14.9","64"
"2019-11-07 11:09:38","43776.4650231482","15.2","65"
"2019-11-07 11:14:38","43776.4684953704","15.5","67"
"2019-11-07 11:19:38","43776.4719675926","15.7","68"
"2019-11-07 11:24:38","43776.4754398148","15.8","69"
"2019-11-07 11:29:38","43776.4789120370","16.0","69"
"2019-11-07 11:34:38","43776.4823842593","16.1","69"
"2019-11-07 11:39:38","43776.4858564815","16.2","70"
"2019-11-07 11:44:38","43776.4893287037","16.3","71"
"2019-11-07 11:49:38","43776.4928009259","16.5","71"
"2019-11-07 11:54:38","43776.4962731482","16.6","72"
"2019-11-07 11:59:38","43776.4997453704","16.7","72"
"2019-11-07 12:04:38","43776.5032175926","14.8","58"
"2019-11-07 12:09:38","43776.5066898148","13.2","51"
"2019-11-07 12:14:38","43776.5101620370","13.9","58"
"2019-11-07 12:19:38","43776.5136342593","14.6","62"
"2019-11-07 12:24:38","43776.5171064815","15.1","64"
"2019-11-07 12:29:38","43776.5205787037","15.4","66"
"2019-11-07 12:34:38","43776.5240509259","15.7","67"
"2019-11-07 12:39:38","43776.5275231482","15.9","68"
"2019-11-07 12:44:38","43776.5309953704","16.0","68"
"2019-11-07 12:49:38","43776.5344675926","16.2","69"
"2019-11-07 12:54:38","43776.5379398148","16.3","70"
"2019-11-07 12:59:38","43776.5414120370","16.5","70"
"2019-11-07 13:04:38","43776.5448842593","16.6","71"
"2019-11-07 13:09:38","43776.5483564815","15.9","66"
"2019-11-07 13:14:38","43776.5518287037","14.0","54"
"2019-11-07 13:19:38","43776.5553009259","13.5","54"
"2019-11-07 13:24:38","43776.5587731482","14.5","70"
"2019-11-07 13:29:38","43776.5622453704","15.2","76"
"2019-11-07 13:34:38","43776.5657175926","15.6","78"
"2019-11-07 13:39:38","43776.5691898148","16.0","78"
"2019-11-07 13:44:38","43776.5726620370","16.3","78"
"2019-11-07 13:49:38","43776.5761342593","16.7","78"
"2019-11-07 13:54:38","43776.5796064815","15.5","66"
"2019-11-07 13:59:38","43776.5830787037","13.6","54"
"2019-11-07 14:04:38","43776.5865509259","13.6","58"
"2019-11-07 14:09:38","43776.5900231482","14.5","64"
"2019-11-07 14:14:38","43776.5934953704","15.0","66"
"2019-11-07 14:19:38","43776.5969675926","15.4","68"
"2019-11-07 14:24:38","43776.6004398148","15.7","69"
"2019-11-07 14:29:38","43776.6039120370","16.0","70"
"2019-11-07 14:34:38","43776.6073842593","16.2","71"
"2019-11-07 14:39:38","43776.6108564815","16.4","72"
"2019-11-07 14:44:38","43776.6143287037","15.4","63"
"2019-11-07 14:49:38","43776.6178009259","13.4","53"
"2019-11-07 14:54:38","43776.6212731482","13.9","59"
"2019-11-07 14:59:38","43776.6247453704","14.7","63"
"2019-11-07 15:04:38","43776.6282175926","16.1","71"
"2019-11-07 15:09:38","43776.6316898148","16.5","68"
"2019-11-07 15:14:38","43776.6351620370","16.6","66"
"2019-11-07 15:19:38","43776.6386342593","16.7","66"
"2019-11-07 15:24:38","43776.6421064815","16.8","66"
"2019-11-07 15:29:38","43776.6455787037","17.0","67"
"2019-11-07 15:34:38","43776.6490509259","17.1","67"
"2019-11-07 15:39:38","43776.6525231482","17.2","67"
"2019-11-07 15:44:38","43776.6559953704","17.3","67"
"2019-11-07 15:49:38","43776.6594675926","17.4","68"
"2019-11-07 15:54:38","43776.6629398148","17.5","68"
"2019-11-07 15:59:38","43776.6664120370","17.6","68"
"2019-11-07 16:04:38","43776.6698842593","17.7","68"
"2019-11-07 16:09:38","43776.6733564815","17.8","68"
"2019-11-07 16:14:38","43776.6768287037","17.9","68"
"2019-11-07 16:19:38","43776.6803009259","18.0","68"
"2019-11-07 16:24:38","43776.6837731482","18.2","68"
"2019-11-07 16:29:38","43776.6872453704","18.3","69"
"2019-11-07 16:34:38","43776.6907175926","18.4","69"
"2019-11-07 16:39:38","43776.6941898148","18.3","70"
"2019-11-07 16:44:38","43776.6976620370","16.4","55"
"2019-11-07 16:49:38","43776.7011342593","14.7","49"
"2019-11-07 16:54:38","43776.7046064815","13.4","47"
"2019-11-07 16:59:38","43776.7080787037","14.1","54"
"2019-11-07 17:04:38","43776.7115509259","14.9","57"
"2019-11-07 17:09:38","43776.7150231482","15.4","60"
"2019-11-07 17:14:38","43776.7184953704","15.8","62"
"2019-11-07 17:19:38","43776.7219675926","16.0","64"
"2019-11-07 17:24:38","43776.7254398148","16.3","65"
"2019-11-07 17:29:38","43776.7289120370","16.5","65"
"2019-11-07 17:34:38","43776.7323842593","16.7","67"
"2019-11-07 17:39:38","43776.7358564815","16.8","68"
"2019-11-07 17:44:38","43776.7393287037","17.0","68"
"2019-11-07 17:49:38","43776.7428009259","15.3","57"
"2019-11-07 17:54:38","43776.7462731482","13.5","50"
"2019-11-07 17:59:38","43776.7497453704","13.8","55"
"2019-11-07 18:04:38","43776.7532175926","14.6","60"
"2019-11-07 18:09:38","43776.7566898148","15.1","63"
"2019-11-07 18:14:38","43776.7601620370","15.5","64"
"2019-11-07 18:19:38","43776.7636342593","15.8","64"
"2019-11-07 18:24:38","43776.7671064815","16.0","66"
"2019-11-07 18:29:38","43776.7705787037","16.2","67"
"2019-11-07 18:34:38","43776.7740509259","16.4","68"
"2019-11-07 18:39:38","43776.7775231482","16.6","68"
"2019-11-07 18:44:38","43776.7809953704","16.7","69"
"2019-11-07 18:49:38","43776.7844675926","16.9","69"
"2019-11-07 18:54:38","43776.7879398148","15.7","61"
